,personaje,fecha_hora,genero,fuente
143,NO IDENTIFICADO,2020-08-11 19:02:43,F,TN
144,NO IDENTIFICADO,2020-08-11 19:02:43,M,TN
145,NO IDENTIFICADO,2020-08-11 19:02:44,F,TN
146,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:44,,TN
147,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:44,,TN
148,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:45,,TN
149,NO IDENTIFICADO,2020-08-11 19:02:45,F,TN
150,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:45,,TN
151,NO IDENTIFICADO,2020-08-11 19:02:46,F,TN
152,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:46,,TN
153,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:46,,TN
154,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:47,,TN
155,NO IDENTIFICADO,2020-08-11 19:02:47,F,TN
156,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:47,,TN
157,NO IDENTIFICADO,2020-08-11 19:02:48,M,TN
158,NO IDENTIFICADO,2020-08-11 19:02:48,F,TN
159,NO IDENTIFICADO,2020-08-11 19:02:48,M,TN
160,NO IDENTIFICADO,2020-08-11 19:02:49,M,TN
161,NO IDENTIFICADO,2020-08-11 19:02:49,F,TN
162,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:49,,TN
163,NO IDENTIFICADO,2020-08-11 19:02:50,M,TN
164,NO IDENTIFICADO,2020-08-11 19:02:50,F,TN
165,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:50,,TN
166,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:51,,TN
167,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:52,,TN
168,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:53,,TN
169,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:54,,TN
170,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:55,,TN
171,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:56,,TN
172,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:57,,TN
173,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:58,,TN
174,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:59,,TN
175,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:03:00,,TN
176,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:03:01,,TN
177,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:03:02,,TN
178,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:03:03,,TN
179,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:03:04,,TN
180,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:03:05,,TN
181,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:03:06,,TN
182,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:03:07,,TN
183,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:03:08,,TN
184,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:03:09,,TN
185,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:03:10,,TN
186,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:03:11,,TN
187,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:03:12,,TN
188,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:03:13,,TN
189,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:03:14,,TN
